ID1,ID2,EdgeType,Score,Annotation
1385,1428,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0105
1390,9082,MS1 annotation,5.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
1390,2679,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0264
1390,9091,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9299
1390,11765,MS1 annotation,5.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
1403,1693,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
1417,1599,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1435,2088,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0270
1443,2123,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
1457,2668,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
1460,1725,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
1460,1688,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1462,8549,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1463,2146,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1465,1647,MS1 annotation,3.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0474
1473,6528,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
